timestamp_folder,pig_id,pig_present,median_depth,mean_depth,depth_std,depth_iqr,valid_pct,threshold
20260130-05-04-48,5,1,1311.0,1251.6,510.0,856.0,47.5,1463
20260130-05-04-48,6,1,1301.0,1267.6,518.2,928.0,47.3,1463
20260130-05-04-48,7,1,1319.0,1325.0,475.7,679.0,46.9,1463
20260130-05-04-48,8,1,1336.0,1291.1,500.8,741.0,47.4,1463
20260130-05-04-48,9,1,1302.0,1303.9,473.4,687.0,46.0,1463
20260130-05-04-48,10,1,1293.0,1276.5,499.4,850.0,46.7,1463
20260130-05-04-48,11,1,1332.0,1353.5,465.3,722.0,44.5,1463
20260130-05-04-48,12,1,1316.0,1306.0,522.4,834.0,45.5,1463
20260130-05-04-48,13,0,1547.0,1432.0,560.7,528.0,44.9,1463
20260130-05-04-48,14,1,1335.0,1337.5,477.7,688.0,45.0,1463
20260130-05-04-48,15,1,1332.0,1297.7,522.6,827.0,45.4,1463
20260130-05-04-48,16,1,1342.0,1354.5,501.9,761.0,42.6,1463
20260130-05-04-48,17,0,1535.0,1470.2,491.0,523.0,43.4,1463
20260130-05-04-48,18,1,1353.0,1232.0,571.4,918.0,48.5,1463
20260130-08-16-40,0,1,1132.0,1221.0,440.0,601.0,55.0,1463
20260130-08-16-40,1,0,1570.0,1480.9,494.1,450.0,45.8,1463
20260130-08-16-40,2,1,814.0,1079.5,462.0,786.0,57.9,1463
20260130-08-16-40,3,1,975.0,1139.1,409.9,633.0,60.1,1463
20260130-08-16-40,4,1,855.0,1140.4,457.6,771.0,58.4,1463
20260130-08-16-40,5,1,1291.0,1263.9,411.5,633.0,55.7,1463
20260130-08-16-40,6,1,1270.0,1250.3,389.3,568.0,57.5,1463
20260130-08-16-40,7,1,714.0,971.6,436.2,694.0,60.7,1463
20260130-08-16-40,8,1,1306.0,1255.1,444.0,694.0,56.2,1463
20260130-08-16-40,9,1,1461.0,1400.3,438.6,582.0,48.4,1463
20260130-08-16-40,10,1,596.0,799.4,438.0,150.0,65.0,1463
20260130-08-16-40,11,1,1305.0,1258.8,475.4,824.0,55.7,1463
20260130-08-16-40,12,1,1286.0,1274.6,406.0,552.0,52.4,1463
20260130-08-16-40,13,0,1545.0,1465.8,519.9,493.0,46.1,1463
20260130-08-16-40,14,1,862.0,1124.8,457.9,744.0,56.9,1463
20260130-08-16-40,15,1,890.0,1086.7,449.6,640.0,56.1,1463
20260130-08-16-40,16,1,971.0,1151.2,410.2,623.0,52.4,1463
20260130-08-16-40,17,0,1565.0,1506.6,463.4,453.0,44.2,1463
20260130-08-16-40,18,1,1135.0,1204.8,479.2,574.0,55.8,1463
20260130-12-04-59,0,1,893.0,1148.1,482.7,768.0,57.6,1463
20260130-12-04-59,1,0,1575.0,1468.6,513.6,479.0,43.8,1463
20260130-12-04-59,2,1,1243.0,1304.7,368.9,495.0,56.0,1463
20260130-12-04-59,3,1,782.0,1053.5,508.2,801.0,56.5,1463
20260130-12-04-59,4,1,1329.0,1288.7,493.8,766.8,47.1,1463
20260130-12-04-59,5,1,607.0,902.1,515.4,778.0,61.9,1463
20260130-12-04-59,6,1,646.0,899.8,462.9,718.0,62.1,1463
20260130-12-04-59,7,1,632.0,843.4,446.7,348.0,62.8,1463
20260130-12-04-59,8,1,804.0,1038.7,473.0,713.0,56.9,1463
20260130-12-04-59,9,1,1409.0,1369.9,439.4,587.5,46.5,1463
20260130-12-04-59,10,1,778.0,1017.2,409.1,642.0,59.1,1463
20260130-12-04-59,11,1,992.0,1185.1,424.4,708.0,55.3,1463
20260130-12-04-59,12,1,824.0,1056.7,455.6,687.0,56.2,1463
20260130-12-04-59,13,0,1559.0,1471.0,516.8,502.0,45.2,1463
20260130-12-04-59,14,1,699.0,955.1,457.5,750.0,60.3,1463
20260130-12-04-59,15,1,603.0,974.6,590.3,1020.0,57.9,1463
20260130-12-04-59,16,1,968.0,1150.7,414.5,635.0,52.3,1463
20260130-12-04-59,17,0,1559.0,1452.0,528.2,489.0,42.6,1463
20260130-12-04-59,18,1,978.0,1104.8,490.1,659.0,54.7,1463
20260130-15-59-29,0,1,808.0,1026.8,459.9,667.0,58.2,1463
20260130-15-59-29,1,0,1563.0,1439.3,550.5,512.0,43.8,1463
20260130-15-59-29,2,1,1308.0,1328.4,387.6,552.0,54.5,1463
20260130-15-59-29,3,1,1130.0,1211.4,382.8,519.0,56.7,1463
20260130-15-59-29,4,1,288.0,300.1,54.8,28.0,71.6,1463
20260130-15-59-29,5,1,419.0,772.1,586.0,956.0,65.1,1463
20260130-15-59-29,6,1,590.0,823.5,478.3,252.0,64.5,1463
20260130-15-59-29,7,1,773.0,1075.2,499.2,831.0,56.3,1463
20260130-15-59-29,8,1,938.0,1137.3,437.2,694.0,57.2,1463
20260130-15-59-29,9,1,1424.0,1374.2,432.9,589.0,47.2,1463
20260130-15-59-29,10,1,791.0,1022.0,444.8,694.0,58.4,1463
20260130-15-59-29,11,1,779.0,1079.1,489.4,813.0,55.5,1463
20260130-15-59-29,12,1,1285.0,1299.2,409.1,614.0,53.6,1463
20260130-15-59-29,13,0,1566.0,1453.3,540.2,502.0,45.6,1463
20260130-15-59-29,14,1,1264.0,1256.6,427.9,680.0,54.5,1463
20260130-15-59-29,15,1,755.0,1042.3,541.2,868.0,55.0,1463
20260130-15-59-29,16,1,979.0,1144.7,401.1,586.0,51.0,1463
20260130-15-59-29,17,0,1559.0,1483.0,498.0,504.0,41.2,1463
20260130-15-59-29,18,1,943.0,1081.4,450.0,625.0,55.4,1463
20260130-18-39-23,0,1,1325.0,1185.2,593.1,1095.0,45.9,1463
20260130-18-39-23,1,0,1495.0,1427.3,517.9,477.0,43.4,1463
20260130-18-39-23,2,1,1337.0,1352.9,433.3,599.0,49.1,1463
20260130-18-39-23,3,1,1321.0,1306.2,484.2,701.0,49.9,1463
20260130-18-39-23,4,1,1330.0,1278.0,515.8,918.0,46.9,1463
20260130-18-39-23,5,1,908.0,1135.2,443.0,716.0,58.0,1463
20260130-18-39-23,6,1,1303.0,1338.1,444.5,637.0,47.6,1463
20260130-18-39-23,7,1,1297.0,1251.1,544.2,1018.0,48.6,1463
20260130-18-39-23,8,1,726.0,1019.6,517.9,892.0,61.3,1463
20260130-18-39-23,9,1,1429.0,1377.9,434.7,646.0,48.3,1463
20260130-18-39-23,10,1,911.0,1132.3,384.9,634.0,57.8,1463
20260130-18-39-23,11,1,950.0,1165.5,437.0,706.0,54.0,1463
20260130-18-39-23,12,1,1297.0,1282.7,494.9,782.0,45.5,1463
20260130-18-39-23,13,0,1491.0,1433.3,518.8,497.0,45.5,1463
20260130-18-39-23,14,1,269.0,276.6,27.0,31.0,73.4,1463
20260130-18-39-23,15,1,1312.0,1299.1,499.8,678.0,47.5,1463
20260130-18-39-23,16,1,1067.0,1205.9,451.3,716.0,50.5,1463
20260130-18-39-23,17,0,1552.0,1482.1,503.2,526.0,41.9,1463
20260130-18-39-23,18,1,1241.0,1163.4,590.0,1030.0,47.1,1463
20260130-21-08-37,0,1,1326.0,1215.8,571.5,1028.0,46.0,1463
20260130-21-08-37,1,0,1549.0,1465.1,523.4,509.0,44.5,1463
20260130-21-08-37,2,1,1330.0,1308.6,455.6,686.0,46.9,1463
20260130-21-08-37,3,1,1320.0,1304.3,476.8,667.0,49.5,1463
20260130-21-08-37,4,1,1331.0,1279.4,510.9,832.0,46.7,1463
20260130-21-08-37,5,1,1318.0,1274.6,517.8,828.0,47.5,1463
20260130-21-08-37,6,1,1307.0,1306.6,461.6,675.8,46.9,1463
20260130-21-08-37,7,1,1326.0,1325.4,460.1,687.0,48.7,1463
20260130-21-08-37,8,1,637.0,945.9,545.9,918.0,61.8,1463
20260130-21-08-37,9,1,1319.0,1341.7,462.4,664.0,46.8,1463
20260130-21-08-37,10,1,907.0,1141.5,443.7,759.0,57.5,1463
20260130-21-08-37,11,1,1173.0,1253.9,414.1,576.0,52.7,1463
20260130-21-08-37,12,1,1303.0,1217.2,540.2,988.0,47.3,1463
20260130-21-08-37,13,0,1549.0,1444.0,544.7,524.0,44.8,1463
20260130-21-08-37,14,1,1327.0,1326.1,499.8,766.0,44.9,1463
20260130-21-08-37,15,1,1306.0,1282.2,533.3,799.0,45.3,1463
20260130-21-08-37,16,1,1325.0,1342.2,501.0,705.0,42.1,1463
20260130-21-08-37,17,0,1508.0,1437.0,525.2,514.0,43.4,1463
20260130-21-08-37,18,1,1226.0,1155.3,583.9,1002.0,48.0,1463
20260130-23-59-10,0,1,1328.0,1222.3,543.4,917.0,45.9,1463
20260130-23-59-10,1,0,1553.0,1477.4,507.0,501.0,45.6,1463
20260130-23-59-10,2,1,1333.0,1321.8,436.7,619.0,46.6,1463
20260130-23-59-10,3,1,1326.0,1295.9,483.7,661.0,49.5,1463
20260130-23-59-10,4,1,1310.0,1263.7,517.3,865.0,46.1,1463
20260130-23-59-10,5,1,1316.0,1325.5,473.0,638.0,46.1,1463
20260130-23-59-10,6,1,1308.0,1310.3,455.4,679.0,47.9,1463
20260130-23-59-10,7,1,1353.0,1338.6,454.1,681.0,49.2,1463
20260130-23-59-10,8,1,1289.0,1270.1,477.1,652.0,47.4,1463
20260130-23-59-10,9,1,1325.0,1328.9,456.4,614.5,45.2,1463
20260130-23-59-10,10,1,1292.0,1267.1,503.4,859.0,46.7,1463
20260130-23-59-10,11,1,1335.0,1348.7,466.3,707.0,45.2,1463
20260130-23-59-10,12,1,1297.0,1268.5,508.6,841.0,46.5,1463
20260130-23-59-10,13,0,1540.0,1440.0,545.7,524.0,44.8,1463
20260130-23-59-10,14,1,1344.0,1349.6,485.8,698.2,44.2,1463
20260130-23-59-10,15,1,1305.0,1280.5,532.5,780.0,44.8,1463
20260130-23-59-10,16,1,1314.0,1328.6,509.1,792.0,43.1,1463
20260130-23-59-10,17,0,1538.0,1474.2,498.8,538.0,43.0,1463
20260130-23-59-10,18,1,1188.0,1144.6,599.4,1031.0,47.1,1463
20260131-00-20-29,0,1,1329.0,1189.2,559.6,973.0,48.0,1463
20260131-00-20-29,1,0,1549.0,1477.8,500.4,485.0,44.7,1463
20260131-00-20-29,2,1,1339.0,1333.4,439.3,638.0,47.8,1463
20260131-00-20-29,3,1,1340.0,1317.5,478.5,694.0,48.6,1463
20260131-00-20-29,4,1,1310.0,1252.5,516.8,874.0,46.9,1463
20260131-00-20-29,5,1,1330.0,1335.8,475.6,675.0,46.6,1463
20260131-00-20-29,6,1,1332.0,1335.2,451.0,690.0,48.4,1463
20260131-00-20-29,7,1,1375.0,1348.9,447.6,688.0,49.2,1463
20260131-00-20-29,8,1,1307.0,1279.0,483.6,705.0,47.6,1463
20260131-00-20-29,9,1,1313.0,1349.1,423.1,589.0,45.4,1463
20260131-00-20-29,10,1,1302.0,1275.1,518.1,921.0,47.6,1463
20260131-00-20-29,11,1,1344.0,1360.4,464.7,707.0,45.4,1463
20260131-00-20-29,12,1,1315.0,1327.5,489.8,780.0,46.4,1463
20260131-00-20-29,13,0,1552.0,1467.9,520.9,517.5,44.5,1463
20260131-00-20-29,14,1,1355.0,1332.3,496.8,739.0,44.6,1463
